Sr No,Authors,Title,Abstract,Author Keywords,Cited by,Source title,Year
1,Ding X.; Yang Z.,Knowledge mapping of platform research: a visual analysis using VOSviewer and CiteSpace,"This study offers a systematic review of academic research on platforms in management, business and economics. By using two visualization tools named VOSviewer and CiteSpace, we analyzed 619 articles on platform research with associated 23,093 references from the Web of Science database. We have discerned the most impact publications, authors, journals, institutions and countries in the platform research. In addition, we have explored the structures of the cited references, cited authors and cited journals to further understand the theoretical basis of the platform research. Moreover, by evolution analysis through CiteSpace and co-occurrence analysis through VOSViewer, we explored the evolution process of platform research and predicted the future development trends. The results conjunctively achieved by VOSviewer and CiteSpace will enhance understanding of platform research and enable future developments for both theorists and practitioners. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Bibliometric analysis; CiteSpace; Future tendencies; Platform; VOSviewer,477,Electronic Commerce Research,2022
2,Huang T.-L.; Liao S.,A model of acceptance of augmented-reality interactive technology: the moderating role of cognitive innovativeness,"This research integrates the technology acceptance model and concepts of experiential value to investigate factors that affect sustainable relationship behavior toward using augmented-reality interactive technology (ARIT). In line with consumers’ innovativeness, this research discovers that consumers’ level of cognitive innovativeness affects their sustainable relationship behaviors toward using ARIT. Online consumers with high cognitive innovativeness put more emphasis on usefulness, aesthetics, and service excellence presented by ARIT; in contrast, those with low cognitive innovativeness focus on playfulness and ease of use presented by ARIT. © 2014, The Author(s).",Augmented-reality interactive technology; Cognitive innovativeness; Experiential value; Technology acceptance model,373,Electronic Commerce Research,2015
3,Sotiriadis M.D.; van Zyl C.,Electronic word-of-mouth and online reviews in tourism services: The use of twitter by tourists,"Lately, the online social media have revolutionized communications and consequently the marketing of tourism destinations and businesses. The area is rapidly evolving and the challenges and opportunities arising from it for tourism industry are already apparent. Electronic word-of-mouth (e-WOM) and online reviews/recommendations are increasingly used regarding tourism services that are high involvement services. The purpose of the present study is to develop a conceptual framework for understanding the foundations of digital communication and empirically investigate its validity by examining the factors influencing the tourism consumer behavior. This study adopts a conceptual model of e-WOM and explores the use of Twitter by the tourists. Findings revealed the factors affecting tourists' decision-making and indicated that this social medium is not a panacea; it is another marketing channel to be wisely used in integrated communications marketing of tourism services. © 2013 Springer Science+Business Media New York.",Electronic word-of-mouth; Social media; Tourism behavior; Tourism services; Twitter,353,Electronic Commerce Research,2013
4,Füller J.; Bartl M.; Ernst H.; Mühlbacher H.,Community based innovation: How to integrate members of virtual communities into new product development,"Online consumer groups represent a large pool of product know-how. Hence, they seem to be a promising source of innovation. At present, except for open source software, little is known about how to utilize this know-how for new product development. In this article we explore if and how members of virtual communities can be integrated into new product development. We explain how to identify and access online communities and how to interact with its members in order to get valuable input for new product development. This approach we term ""Community Based Innovation."" The Audi case illustrates the applicability of the method and underscores the innovative capability of consumers encountered in virtual communities. © Springer Science + Business Media, LLC 2006.",New product development; Online communities; User innovations; Virtual customer integration,342,Electronic Commerce Research,2006
5,Lehdonvirta V.,Virtual item sales as a revenue model: Identifying attributes that drive purchase decisions,"The global market for virtual items, characters and currencies was estimated to exceed 2.1 Billion USD in 2007. Selling virtual goods for real money is an increasingly common revenue model not only for online games and virtual worlds, but for social networking sites and other mainstream online services as well. What drives consumer spending on virtual items is an increasingly relevant question, but little research has been devoted to the topic so far. Previous literature suggests that demand for virtual items is based on the items' ability to confer gameplay advantages on one hand, and on the items' decorative value on the other hand. In this paper, I adopt a perspective from the sociology of consumption and analyse examples from 14 virtual asset platforms to suggest a more detailed set of item attributes that drive virtual item purchase decisions, consisting of functional, hedonic and social attributes. © Springer Science+Business Media, LLC 2009.",Business model; Consumer behaviour; Online communities; Purchase drivers; RMT; Virtual consumption,285,Electronic Commerce Research,2009
6,Nonnecke B.; Andrews D.; Preece J.,"Non-public and public online community participation: Needs, attitudes and behavior","Nonpublic participation within an online community, often called lurking, occurs when an individual joins a community, but does not post. This study examines the nature of lurking, why people lurk and the differences in attitudes between lurkers and posters. The results indicate significant differences between people who lurk and those who post in an online community. We conclude that when people lurk they are observing, which in no way is a negative behavior. This introverted or passive behavior affects lurkers' attitudes about the benefits of the community, their expectations, and opinions of themselves and others who lurk. In general lurkers are less optimistic and less positive than those who post. © Springer Science + Business Media, LLC 2006.",Bulletin board; Lurking; Nonpublic participation; Online community; Posting; Survey,263,Electronic Commerce Research,2006
7,Kim J.B.,An empirical study on consumer first purchase intention in online shopping: Integrating initial trust and TAM,"To understand the first purchase mechanism in online shopping, this study established an integrated model of initial trust and TAM. According to the analysis results, initial trust beliefs were significantly influenced by initial trust bases such as company reputation, structural assurance, and trusting stance, and initial trust beliefs indirectly influenced the first purchase intention through consumer attitude. In TAM constructs, only perceived usefulness directly influenced the usage attitude of online shopping systems, then indirectly influenced the first purchase intention. These results imply that online consumers consider perceived ease of use as a basic requirement for system design. It was also found that there is a time cushion between the time of first purchase and the time of belief formation. On the whole, these results reinforced the theory that a relationship between belief (trust and perceived usefulness) and intention was better explained when it was mediated by attitude. © 2012 Springer Science+Business Media, LLC.",First purchase; Initial trust; Initial trust base; TAM,243,Electronic Commerce Research,2012
8,Bourlakis M.; Papagiannidis S.; Li F.,Retail spatial evolution: Paving the way from traditional to metaverse retailing,"This paper examines the evolution of retailing, i.e. from traditional to electronic to metaverse retailing and sheds light on the ways metaverses influence that evolution. The spatial dimension is taken into consideration as retailers could operate simultaneously in three different, but intertwined spaces. Particular emphasis is paid to key promotional aspects and we highlight the key challenges and opportunities faced by traditional retailers, e-retailers and metaverse retailers. For the metaverse phenomenon, the authors analyse Second Life and a range of findings emerge. One key finding is that retailers need to employ a holistic and overarching approach when devising their promotional strategies, especially if they aim to operate at the metaverse stage as well. At the end, the authors recommend a range of future research avenues and note the immediate need for policy development dealing with the metaverse phenomenon. © Springer Science+Business Media, LLC 2009.",Marketing; Metaverses; Promotion; Retailing; Second Life,240,Electronic Commerce Research,2009
9,Zarmpou T.; Saprikis V.; Markos A.; Vlachopoulou M.,Modeling users' acceptance of mobile services,"The success of mobile services adoption hinges on their ability to cover user needs and attract consumer interest. The extant literature focuses on understanding the factors that might affect consumers' actual adoption of such services through their effect on behavioral intention; these studies are mostly based on behavioral intention theories, such as Technology Acceptance Model, Diffusion of Innovation and Unified Theory of Acceptance and Use of Technology. In this work, new theoretical constructs are combined with existing evidence in order to extend the Technology Acceptance Model (TAM) as it was initially established by Davis and later further enriched by other researchers. The proposed model includes behavioral intention, perceived usefulness, perceived ease of use, trust, innovativeness, relationship drivers, and functionality. Within this approach, relationship drivers introduce a marketing perspective to the original models of technology adoption by building emotional connections between the users and the mobile services. The hypothesized model is empirically tested using data collected from a survey on m-commerce consumers. Structural Equation Modelling (SEM) was used to evaluate the causal model and Confirmatory Factor Analysis (CFA) was performed to examine the reliability and validity of the measurement model. It is briefly concluded that behavioral intention is directly affected by perceived usefulness, innovativeness and relationship drivers; the findings provide interesting insights and useful hints to practitioners and researchers. © 2012 Springer Science+Business Media, LLC.",Functionality; Innovativeness; Mobile services acceptance; Relationship drivers; SEM; Trust,231,Electronic Commerce Research,2012
10,Flanagin A.J.; Metzger M.J.; Pure R.; Markov A.; Hartsell E.,Mitigating risk in ecommerce transactions: Perceptions of information credibility and the role of user-generated ratings in product quality and purchase intention,"Although extremely popular, electronic commerce environments often lack information that has traditionally served to ensure trust among exchange partners. Digital technologies, however, have created new forms of ""electronic word-of-mouth,"" which offer new potential for gathering credible information that guides consumer behaviors. We conducted a nationally representative survey and a focused experiment to assess how individuals perceive the credibility of online commercial information, particularly as compared to information available through more traditional channels, and to evaluate the specific aspects of ratings information that affect people's attitudes toward ecommerce. Survey results show that consumers rely heavily on web-based information as compared to other channels, and that ratings information is critical in the evaluation of the credibility of online commercial information. Experimental results indicate that ratings are positively associated with perceptions of product quality and purchase intention, but that people attend to average product ratings, but not to the number of ratings or to the combination of the average and the number of ratings together. Thus suggests that in spite of valuing the web and ratings as sources of commercial information, people use ratings information suboptimally by potentially privileging small numbers of ratings that could be idiosyncratic. In addition, product quality is shown to mediate the relationship between user ratings and purchase intention. The practical and theoretical implications of these findings are considered for ecommerce scholars, consumers, and vendors. © 2014 Springer Science+Business Media New York.",Amazon; Credibility; Ecommerce; Electronic word of mouth; Information credibility; Product quality; Product ratings; Purchase intention; User ratings; User-generated content,225,Electronic Commerce Research,2014
